team1,team2,game_number,map_name,score1,team1_p1,team1_p2,team1_p3,team1_p4,team1_p5,team1_p6,team2_p1,team2_p2,team2_p3,team2_p4,team2_p5,team2_p6,
FLA,SFS,1,dorado,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
FLA,SFS,2,temple-of-anubis,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,iddqd,dhaK,sleepy,BABYBAY,Nomy,Nevix,
FLA,SFS,3,oasis,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,iddqd,dhaK,sleepy,BABYBAY,Nomy,Nevix,
FLA,SFS,4,eichenwalde,1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
VAL,SFS,1,junkertown,1,00,Envy,Kariv,Soon,Unkoe,Fate,Silkthread,BABYBAY,sleepy,dhaK,Danteh,Nomy,Nevix,
VAL,SFS,2,horizon-lunar-colony,-1,00,Envy,Kariv,Soon,Unkoe,Fate,Silkthread,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
VAL,SFS,3,ilios,-1,00,Fate,Grimreality,Verbo,Unkoe,Silkthread,Envy,BABYBAY,sleepy,Danteh,Nomy,Nevix,dhaK,
VAL,SFS,4,numbani,1,00,Fate,Silkthread,Unkoe,Soon,Kariv,Envy,BABYBAY,sleepy,dhaK,Nomy,Nevix,Danteh,
VAL,SFS,5,lijiang,2,00,Kariv,Soon,Unkoe,Fate,Envy,Silkthread,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
SEO,SHD,1,dorado,1,00,ZUNBA,tobi,ryujehong,Miro,Wekeed,Bunny,MG,Roshan,Diya,Xushu,Altering,Fiveking,
SEO,SHD,2,temple-of-anubis,1,00,tobi,ryujehong,FLETA,XepheR,KuKi,Bunny,Undead,MG,Roshan,Diya,Freefeel,Altering,
SEO,SHD,3,oasis,2,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Undead,MG,Roshan,Diya,Freefeel,Altering,
SEO,SHD,4,eichenwalde,2,00,ZUNBA,tobi,ryujehong,Miro,Wekeed,Munchkin,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking,
GLA,LDN,1,junkertown,2,00,Surefour,iRemiix,Hydration,Asher,BigGoose,Shaz,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL,
GLA,LDN,2,horizon-lunar-colony,-1,00,Hydration,Surefour,Bischu,BigGoose,Shaz,iRemiix,NUS,birdring,HaGoPeun,Fissure,Fury,Rascal,
GLA,LDN,3,ilios,-2,00,Asher,Surefour,Bischu,iRemiix,Shaz,BigGoose,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL,
GLA,LDN,4,numbani,1,00,Surefour,Asher,iRemiix,Bischu,Shaz,BigGoose,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL,
GLA,LDN,5,lijiang,2,00,BigGoose,Shaz,Hydration,Asher,Surefour,iRemiix,Gesture,Closer,Profit,Hooreg,WooHyaL,HaGoPeun,
DAL,HOU,1,dorado,-1,00,Taimou,Chipshajen,Custa,Mickie,EFFECT,cocco,Jake,Coolmatt,Muma,Boink,LiNkzr,Rawkus,
DAL,HOU,2,temple-of-anubis,1,00,Taimou,Chipshajen,Mickie,HarryHook,EFFECT,xQc,Jake,Bani,LiNkzr,Boink,Coolmatt,Muma,
DAL,HOU,3,oasis,1,00,Seagull,Taimou,Mickie,EFFECT,Custa,Chipshajen,Clockwork,Coolmatt,Muma,LiNkzr,Rawkus,Boink,
DAL,HOU,4,eichenwalde,-1,00,Taimou,Mickie,EFFECT,HarryHook,cocco,Chipshajen,Clockwork,SPREE,Muma,Jake,Rawkus,Bani,
DAL,HOU,5,lijiang,1,00,Seagull,Taimou,Mickie,EFFECT,Chipshajen,Custa,LiNkzr,Coolmatt,Muma,Jake,Rawkus,Boink,
NYE,BOS,1,dorado,3,00,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
NYE,BOS,2,temple-of-anubis,1,00,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
NYE,BOS,3,oasis,-2,00,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
NYE,BOS,4,eichenwalde,2,00,Mano,Saebyeolbe,Meko,Pine,Ark,Libero,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
SFS,LDN,1,dorado,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,birdring,Fissure,Rascal,Fury,NUS,HaGoPeun,
SFS,LDN,2,temple-of-anubis,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,birdring,Fissure,Rascal,Fury,NUS,HaGoPeun,
SFS,LDN,3,oasis,-2,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,birdring,Fissure,Rascal,Fury,NUS,HaGoPeun,
SFS,LDN,4,eichenwalde,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,birdring,Fissure,Rascal,Fury,NUS,HaGoPeun,
SEO,HOU,1,junkertown,1,00,tobi,ryujehong,FLETA,Wekeed,XepheR,KuKi,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
SEO,HOU,2,horizon-lunar-colony,-1,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
SEO,HOU,3,ilios,2,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,SPREE,Rawkus,Muma,Bani,Clockwork,Mendokusaii,
SEO,HOU,4,numbani,0,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Wekeed,Rawkus,Coolmatt,Jake,Muma,Bani,Clockwork,
SHD,BOS,1,junkertown,-1,00,Undead,Diya,Fiveking,Xushu,Freefeel,Roshan,DreamKazper,STRIKER,Gamsu,NotE,Neko,Snow,
SHD,BOS,2,horizon-lunar-colony,2,00,Diya,Undead,Fiveking,Xushu,Freefeel,Roshan,DreamKazper,STRIKER,Gamsu,NotE,Neko,Snow,
SHD,BOS,3,ilios,1,00,Undead,Diya,Altering,MG,Freefeel,Roshan,DreamKazper,Mistakes,Gamsu,Kalios,Neko,Avast,
SHD,BOS,4,numbani,-1,00,Undead,MG,Roshan,Diya,Freefeel,Altering,DreamKazper,Gamsu,Snow,STRIKER,Kalios,Avast,
SHD,BOS,5,lijiang,-1,00,Undead,Diya,Altering,MG,Freefeel,Roshan,DreamKazper,STRIKER,Kellex,Gamsu,Kalios,Neko,
VAL,GLA,1,dorado,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Surefour,iRemiix,BigGoose,Shaz,Hydration,Asher,
VAL,GLA,2,temple-of-anubis,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
VAL,GLA,3,oasis,-2,00,Grimreality,Silkthread,Verbo,Envy,Kariv,Fate,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
VAL,GLA,4,eichenwalde,1,00,Numlocked,Unkoe,Soon,Silkthread,Envy,Kariv,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
FLA,DAL,1,junkertown,3,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Custa,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
FLA,DAL,2,horizon-lunar-colony,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,HarryHook,Mickie,Chipshajen,xQc,Seagull,EFFECT,
FLA,DAL,3,ilios,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Taimou,Custa,Mickie,Chipshajen,xQc,EFFECT,
FLA,DAL,4,numbani,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Taimou,Custa,Mickie,Chipshajen,xQc,EFFECT,
SEO,NYE,1,junkertown,-1,00,ZUNBA,tobi,ryujehong,FLETA,Wekeed,KuKi,Mano,Saebyeolbe,Meko,Pine,Ark,Libero,
SEO,NYE,2,horizon-lunar-colony,1,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,
SEO,NYE,3,ilios,1,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,
SEO,NYE,4,numbani,3,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Mano,Saebyeolbe,Meko,Pine,Ark,Libero,
SFS,VAL,1,dorado,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Agilities,Envy,Kariv,Fate,
SFS,VAL,2,temple-of-anubis,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Agilities,Envy,Kariv,Fate,
SFS,VAL,3,ilios,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
SFS,VAL,4,numbani,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
SHD,GLA,1,dorado,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
SHD,GLA,2,temple-of-anubis,-1,00,Undead,MG,Roshan,Diya,Freefeel,Altering,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
SHD,GLA,3,ilios,-2,00,Undead,MG,Roshan,Diya,Freefeel,Altering,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,
SHD,GLA,4,eichenwalde,-1,00,Undead,MG,Roshan,Diya,Freefeel,Fiveking,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
DAL,SEO,1,junkertown,1,00,Taimou,Custa,HarryHook,Mickie,Seagull,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,2,temple-of-anubis,-1,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,3,ilios,-2,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,4,numbani,0,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
LDN,FLA,1,dorado,-1,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,2,temple-of-anubis,1,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,3,oasis,2,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,4,numbani,3,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
PHI,HOU,1,dorado,1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,LiNkzr,Jake,Rawkus,Bani,Muma,Coolmatt,
PHI,HOU,2,horizon-lunar-colony,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,Bani,Rawkus,Jake,LiNkzr,
PHI,HOU,3,oasis,2,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,Boink,Clockwork,Jake,Rawkus,
PHI,HOU,4,eichenwalde,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,LiNkzr,Jake,Rawkus,Bani,
PHI,HOU,5,lijiang,2,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,LiNkzr,Rawkus,SPREE,Jake,Boink,
BOS,NYE,1,junkertown,-1,00,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,
BOS,NYE,2,horizon-lunar-colony,1,00,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,
BOS,NYE,3,ilios,-2,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Saebyeolbe,Janus,Meko,Pine,Ark,Jjonak,
BOS,NYE,4,numbani,-1,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,
VAL,DAL,1,junkertown,1,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Taimou,Custa,HarryHook,Mickie,Seagull,EFFECT,
VAL,DAL,2,horizon-lunar-colony,0,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Taimou,Custa,HarryHook,Mickie,EFFECT,cocco,
VAL,DAL,3,ilios,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,HarryHook,Mickie,Chipshajen,xQc,Seagull,EFFECT,
VAL,DAL,4,numbani,3,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,
FLA,BOS,1,dorado,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,
FLA,BOS,2,temple-of-anubis,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,
FLA,BOS,3,oasis,-2,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,
FLA,BOS,4,eichenwalde,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,
SFS,SHD,1,junkertown,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Undead,Roshan,Diya,Xushu,Freefeel,Altering,
SFS,SHD,2,horizon-lunar-colony,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Undead,Roshan,Diya,Xushu,Freefeel,Altering,
SFS,SHD,3,ilios,2,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Undead,Roshan,Diya,Xushu,Freefeel,Altering,
SFS,SHD,4,numbani,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Undead,Roshan,Diya,Xushu,Freefeel,Altering,
LDN,PHI,1,junkertown,1,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,ShaDowBurn,fragi,Boombox,Carpe,Poko,DayFly,
LDN,PHI,2,horizon-lunar-colony,2,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,ShaDowBurn,fragi,Boombox,Carpe,Poko,DayFly,
LDN,PHI,3,ilios,2,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,ShaDowBurn,fragi,Boombox,Carpe,Poko,DayFly,
LDN,PHI,4,numbani,3,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,ShaDowBurn,fragi,Boombox,Carpe,Poko,DayFly,
NYE,HOU,1,junkertown,-1,00,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
NYE,HOU,2,temple-of-anubis,1,00,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
NYE,HOU,3,ilios,2,00,Saebyeolbe,Janus,Meko,Pine,Ark,Jjonak,Rawkus,Coolmatt,Muma,Bani,Clockwork,LiNkzr,
NYE,HOU,4,numbani,2,00,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,Rawkus,Coolmatt,Jake,Muma,Bani,Clockwork,
SEO,GLA,1,junkertown,1,00,ZUNBA,tobi,ryujehong,FLETA,Wekeed,KuKi,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,
SEO,GLA,2,horizon-lunar-colony,1,00,ZUNBA,tobi,ryujehong,FLETA,KuKi,Bunny,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
SEO,GLA,3,ilios,2,00,ZUNBA,ryujehong,FLETA,Wekeed,KuKi,Bunny,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
SEO,GLA,4,numbani,3,00,ZUNBA,tobi,ryujehong,FLETA,Wekeed,KuKi,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
SFS,PHI,1,dorado,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,
SFS,PHI,2,temple-of-anubis,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,
SFS,PHI,3,oasis,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,
SFS,PHI,4,eichenwalde,0,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,
FLA,SEO,1,dorado,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,ryujehong,gido,FLETA,XepheR,Munchkin,KuKi,
FLA,SEO,2,horizon-lunar-colony,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,tobi,ryujehong,FLETA,XepheR,Munchkin,KuKi,
FLA,SEO,3,oasis,-2,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,tobi,ryujehong,FLETA,XepheR,Munchkin,KuKi,
FLA,SEO,4,eichenwalde,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,tobi,ryujehong,FLETA,XepheR,Munchkin,KuKi,
HOU,SHD,1,junkertown,3,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Undead,MG,Roshan,Diya,Freefeel,Altering,
HOU,SHD,2,horizon-lunar-colony,1,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Undead,MG,Roshan,Diya,Freefeel,Altering,
HOU,SHD,3,oasis,2,00,Rawkus,Coolmatt,Jake,Muma,Boink,LiNkzr,Undead,MG,Roshan,Diya,Freefeel,Altering,
HOU,SHD,4,numbani,2,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Undead,MG,Roshan,Diya,Freefeel,Altering,
DAL,HOU,1,junkertown,-1,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
DAL,HOU,2,horizon-lunar-colony,-1,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
DAL,HOU,3,oasis,-2,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,Rawkus,Coolmatt,Jake,Muma,Boink,LiNkzr,
DAL,HOU,4,eichenwalde,-1,00,Taimou,Custa,Mickie,Chipshajen,EFFECT,cocco,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
NYE,VAL,1,junkertown,2,00,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,Unkoe,Soon,Agilities,Envy,Kariv,Fate,
NYE,VAL,2,horizon-lunar-colony,1,00,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
NYE,VAL,3,oasis,1,00,Mano,Meko,Pine,Ark,Jjonak,Libero,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
NYE,VAL,4,numbani,0,00,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
PHI,GLA,1,junkertown,1,00,Poko,Neptuno,Boombox,fragi,ShaDowBurn,Carpe,Bischu,Hydration,iRemiix,BigGoose,Shaz,Asher,
PHI,GLA,2,temple-of-anubis,1,00,Poko,Boombox,Neptuno,fragi,ShaDowBurn,Carpe,BigGoose,Surefour,iRemiix,Bischu,Asher,Shaz,
PHI,GLA,3,ilios,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Hydration,Shaz,BigGoose,Asher,Bischu,iRemiix,
PHI,GLA,4,numbani,-1,00,Carpe,ShaDowBurn,fragi,Boombox,Poko,Neptuno,iRemiix,Surefour,Bischu,Asher,Shaz,BigGoose,
PHI,GLA,5,lijiang,-2,00,Poko,fragi,Boombox,Carpe,ShaDowBurn,Neptuno,BigGoose,Shaz,Hydration,Asher,Surefour,iRemiix,
