36.36,50,51.21,50,58.82,88.89,12.5,11.11,5.17,3.14,12.12,5.56,9.9,11.11,71.21,47.69,45.45,22.22,46.67,75,2.286,1.333,45.45,61.11,26.67,27.27,33.33,100,1.5,1.5,-1
40,66.67,40,66.67,75,87.50,16.67,25,4.84,2.33,7.50,16.67,12.5,8.33,69.54,83.33,37.50,25,40,66.67,1.667,1,35,66.67,42.86,62.50,36.36,100,2.714,2.714,-1
47.62,47.62,52.38,47.62,72.73,80,20,18.18,5,5,9.52,0,0,9.52,97.78,70.59,33.33,33.33,57.14,57.14,1.750,1.5,33.33,33.33,57.14,42.86,28.57,42.86,1.5,1.750,-1
44.44,25,50,43.75,77.78,42.86,11.11,11.11,4.38,4.33,11.11,0,5.56,0,32.44,96.15,16.67,43.75,0,28.57,1,1,61.11,31.25,63.64,40,25,0,1.333,1.333,1
33.33,38.46,33.33,46.15,75,66.67,12.5,14.29,4,8.40,8.33,7.69,16.67,0,78.57,85.71,8.33,15.38,0,50,1,1,66.67,38.46,37.50,40,33.33,33.33,1,1.333,1
55.56,20,50,53.33,88.89,25,22.22,14.29,5.57,5.20,5.56,0,0,0,77.86,83.33,33.33,20,50,33.33,2.333,1,27.78,46.67,80,28.57,42.86,0,2.25,2,1
18.75,37.84,31.25,45.95,40,52.94,9.9,25,3.67,5.36,0,2.70,18.75,5.41,51.28,80.13,18.75,29.71,33.33,36.36,1,1.5,50,43.24,25,37.50,0,40,1,2,1
57.14,76.47,50,70.59,71.43,100,42.86,20,5,6.50,7.14,23.53,0,0,74.7,67.95,35.71,23.53,80,100,2,1,35.71,52.94,40,77.78,50,50,1,1.5,1
41.18,50,52.94,42.86,77.78,83.33,0,25,1.88,5.50,0,0,35.29,7.14,65.42,81.48,17.65,42.86,66.67,33.33,1.5,1,52.94,35.71,33.33,60,40,66.67,1.333,30,2
36.36,33.33,50,36.36,63.64,58.33,9.9,19.5,4.57,5,0,3.3,9.9,9.9,66.67,60.51,31.82,33.33,42.86,54.55,1,2,27.27,48.48,16.67,31.25,44.44,0,1.600,1.200,1
55.56,47.6,66.67,55.88,66.67,73.68,33.33,13.33,3.17,3.85,16.67,2.94,5.56,8.82,73.77,67.39,19.44,29.41,71.43,80,1,1.875,47.22,29.41,58.82,30,41.67,35.71,1.400,1,3
53.57,36.84,42.86,47.37,66.67,66.67,43.75,10,3.44,4.67,3.57,15.79,10.71,15.79,58.82,69.23,17.86,31.58,60,50,1,1.333,46.43,42.11,53.85,25,50,40,1.800,30,-1
44.83,44.44,62.7,55.56,66.67,80,9.9,0,6.10,3.67,3.45,0,0,11.11,68.58,83.33,34.38,22.22,50,50,1.400,30,41.38,44.44,33.33,25,57.14,66.67,1.667,1,-2
57.89,33.33,31.58,50,100,44.44,38.46,22.22,4.14,4.57,5.26,0,10.53,11.11,71.82,71.11,47.37,22.22,66.67,25,2,2,42.11,50,62.50,22.22,0,60,1,1,-1
56.25,53.33,62.50,33.33,80,80,16.67,40,4.33,4.83,0,13.33,6.25,0,78.33,74.17,31.25,20,20,66.67,1,1,43.75,80,85.71,50,50,0,30,0,-1
42.86,34.62,48.57,42.31,76.47,72.73,11.11,6.67,5.38,5.38,5.71,3.85,2.86,0,95.65,84.44,40,23.8,42.86,33.33,1.667,2,31.43,30.77,63.64,37.50,20,33.33,1.714,1.429,2
57.14,43.48,50,56.52,71.43,46.15,42.86,40,5,4.83,7.14,4.35,0,4.35,74.7,83.33,35.71,21.74,80,40,2,2,35.71,47.83,40,36.36,50,57.14,1,1.667,-1
47.37,31.25,52.63,43.75,90,71.43,0,0,6.14,6,0,6.25,5.26,0,68.33,75,36.84,31.25,57.14,20,1.250,1,42.11,31.25,37.50,40,50,33.33,1,2,1
16.67,47.62,25,52.38,66.67,81.82,0,10,4,4.89,0,4.76,8.33,4.76,68.75,73.33,8.33,28.57,0,66.67,0,1.5,58.33,19.5,14.29,50,25,36.36,1,1.571,2
78.57,38.89,50,50,100,59.26,57.14,18.52,8,5.13,0,1.85,0,5.56,100,77.3,42.86,22.22,83.33,41.67,1.600,1.600,28.57,44.44,50,45.83,100,27.78,0,2.91,-1
45,72.73,45,51.52,88.89,100,9.9,43.75,4.80,4.56,0,21.21,5,3.3,70.51,69.79,40,42.42,62.50,71.43,1.600,1.5,30,45.45,33.33,80,33.33,50,1.5,1.5,-2
55,61.2,65,54.24,76.92,90.63,14.29,25.93,5,4.30,5,8.47,5,3.39,52.50,64.7,25,42.37,80,68,1.250,1.235,50,33.90,40,70,60,35.71,1,1.667,-3
41.51,55,54.72,45,62.7,100,16.67,18.18,4.61,5.38,9.43,10,9.43,0,73.72,64.44,39.62,30,52.38,83.33,2.91,1.600,47.17,55,40,45.45,14.29,33.33,1.333,2,1
53.85,38.81,58.97,41.79,65.22,64.29,37.50,20.51,5.10,5.10,10.26,2.99,2.56,4.48,85.80,62.41,30.77,29.85,58.33,55,1.429,1.636,43.59,49.25,52.94,42.42,50,7.14,2.200,1.83,1
64.52,52.50,67.74,60,76.19,75,40,18.75,4.80,4.83,16.13,0,0,5,72.6,81.25,29.3,27.50,66.67,72.73,1.333,1.5,41.94,47.50,46.15,57.89,88.89,20,1,1.375,1
26.32,53.85,31.58,53.85,50,71.43,15.38,33.33,5.73,3.33,5.26,0,0,7.69,91.94,78.57,15.79,38.46,66.67,99,1,2,52.63,46.15,30,33.33,0,0,1.833,1,2
65.63,14.29,62.50,28.57,85,50,33.33,0,5,5.50,6.25,0,0,7.14,66.67,86.67,21.88,28.57,57.14,0,1.250,0,56.25,57.14,72.22,25,57.14,0,2,1,1
32.14,42.50,39.29,37.50,54.55,66.67,17.65,28,5,4.50,0,2.50,0,0,75,83.33,21.43,30,50,75,1,1.667,53.57,40,40,18.75,0,41.67,1.714,1.333,1
44.44,46.67,44.44,40,75,66.67,20,33.33,5.25,5.33,11.11,6.67,0,6.67,94.44,76.92,33.33,33.33,33.33,40,1,2.500,44.44,33.33,75,40,0,60,30,1.5,1
34.78,62.16,47.83,51.35,72.73,84.21,0,38.89,3.18,5,8.70,0,4.35,5.41,60.83,85.53,13.4,27.3,66.67,90,1.5,1.667,56.52,40.54,30.77,53.33,28.57,50,1.600,1.667,1
0,37.50,25,37.50,0,83.33,0,10,2.33,4.69,0,0,25,6.25,50,70.8,12.5,31.25,0,70,0,1.429,50,43.75,0,21.43,0,25,1,1.400,-1
54.84,50,45.16,56.25,82.14,66.67,32.35,28.57,3.18,3.78,1.61,0,12.90,6.25,58.54,58.2,29.3,12.5,72.22,100,1.38,2,48.39,68.75,43.33,45.45,57.14,33.33,1,1,1
0,41.18,25,52.94,0,72.22,0,6.25,4.22,5.50,0,2.94,8.33,2.94,40.28,58.40,25,14.71,0,80,0,1.250,33.33,55.88,0,36.84,0,30,2,1.571,-1
63.1,41.18,56.16,41.18,90.24,57.14,28.13,30,4.13,4.71,6.85,5.88,2.74,0,65.43,81.82,41.10,29.41,73.33,60,1.364,2,39.73,47.6,65.52,37.50,35.71,25,1.667,1.667,1
41.67,19.5,45,42.86,62.96,33.33,24.24,8.33,4.13,4.22,5,0,8.33,0,67.26,91.18,26.67,42.86,50,22.22,1.375,1,36.67,28.57,45.45,33.33,31.82,0,1.533,1.200,1
33.96,29.63,43.40,48.15,69.57,53.85,6.67,7.14,4.46,5.67,3.77,7.41,11.32,3.70,78.76,73.21,26.42,22.22,35.71,16.67,2.400,1,45.28,37.4,37.50,40,26.67,27.27,2,1.571,1
37.50,31.43,43.75,37.14,71.43,76.92,11.11,4.55,3.50,5.35,0,2.86,25,2.86,88.89,88.33,31.25,22.86,60,37.50,2.333,1.667,31.25,37.14,20,30.77,33.33,28.57,1.5,1.444,2
15.79,23.68,26.32,28.95,40,63.64,7.14,7.41,5.46,4.29,0,2.63,5.26,5.25,80.56,67.68,31.58,23.68,16.67,55.56,1,2.400,31.58,47.37,16.67,22.22,14.29,0,1.833,1.99,1
43.24,36.49,51.35,43.24,68.42,56.25,16.67,21.43,5.7,5.10,2.70,2.70,5.41,4.5,70,65.48,29.73,31.8,45.45,52.17,1.600,1.583,45.95,47.30,58.82,40,11.11,6.25,1.571,1.71,1
72.73,45.28,66.67,54.72,95.45,72.41,27.27,12.5,4.63,4.84,27.27,3.77,3.3,5.66,53.57,72.85,21.21,22.64,85.71,75,1.333,1.444,45.45,57.17,80,52,54.55,12.5,1.200,1.462,2
58.33,40.91,33.33,45.45,100,70,37.50,16.67,4.80,5.22,0,0,0,4.55,70.83,71.43,12.5,22.73,66.67,100,2,2,45.83,50,63.64,36.36,50,0,1.600,1.5,-2
69.77,40.91,55.81,47.73,95.83,66.67,36.84,17.39,4,4.32,6.98,2.27,2.33,6.82,83.85,69.35,32.56,27.27,71.43,75,1.700,1.889,44.19,29.55,73.68,30.77,60,26.32,1.260,1.214,1
47.37,51.72,44.74,55.17,82.35,68.75,19.5,30.77,3.73,3.50,7.89,6.90,7.89,3.45,60.32,84.62,21.5,13.79,87.50,50,1.286,2.500,55.26,48.28,28.57,50,55.56,54.55,1.750,2.400,-1
42.50,72.73,37.50,66.67,66.67,95.45,28,27.27,4.50,4.63,2.50,27.27,0,3.3,83.33,53.57,30,21.21,75,85.71,1.667,1.333,40,45.45,18.75,80,41.67,54.55,1.333,1.200,-1
46.67,58.33,40,33.33,66.67,100,33.33,37.50,5.33,4.80,6.67,0,6.67,0,76.92,70.83,33.33,12.5,40,66.67,2.500,2,33.33,45.83,40,63.64,60,50,1.5,1.600,2
38.89,62.50,50,37.50,77.78,100,0,40,5.25,3.67,0,0,5.56,12.5,75,100,38.89,18.75,57.14,66.67,2.25,1.5,27.78,37.50,0,66.67,50,57.14,2.333,2.667,2
66.67,25,50,16.67,100,50,33.33,20,5.75,4.71,0,0,0,8.33,70,100,16.67,8.33,50,100,1,40,58.33,33.33,57.14,25,100,14.29,0,2.400,-2
63.16,56.52,52.63,52.17,90,83.33,33.33,27.27,2.17,4.38,15.79,8.70,15.79,4.35,69.5,34.91,26.32,21.74,60,40,30,1,42.11,52.17,75,66.67,50,50,1.333,1.333,1
38.10,35.48,54.76,48.39,52.17,66.67,21.5,6.25,4.73,4.54,4.76,12.90,2.38,6.45,71.87,58.77,26.19,38.71,54.55,41.67,1,1.200,42.86,35.48,50,54.55,7.69,0,1.5,1.143,1
60.87,53.33,52.17,60,83.33,66.67,36.36,33.33,6.14,4,13.4,6.67,0,6.67,74.79,57.58,34.78,33.33,62.50,40,1.400,1.5,43.48,33.33,70,60,40,60,2.500,2.500,2
66.67,60,50,52,77.78,84.62,55.56,33.33,6.25,5.63,11.11,4,0,0,76.28,75.25,27.78,40,40,60,1,2,50,32,77.78,75,75,42.86,2,2.25,1
45.59,54.55,55.88,45.45,65.79,80,20,33.33,4.36,5.8,8.82,12.12,8.82,9.9,73.17,69.87,39.71,36.36,55.56,75,1.933,1.333,47.6,33.33,43.75,45.45,22.22,40,1.286,2.333,1
41.67,50,45.83,56.25,81.82,66.67,7.69,28.57,3.80,3.78,4.17,0,12.5,6.25,66.67,58.2,25,12.5,16.67,100,1,2,45.83,68.75,63.64,45.45,28.57,33.33,2,1,-2
42.86,64.71,50,64.71,66.67,81.82,19.5,33.33,4.82,3.67,0,0,4.76,5.88,79.6,86.36,35.71,35.29,40,66.67,1.833,2.25,28.57,47.6,50,62.50,40,66.67,1.778,1,2
41.38,41.18,63.79,47.6,59.46,68.75,9.52,16.67,4.89,5.17,8.62,0,1.72,5.88,63.89,70.37,29.31,26.47,52.94,44.44,1.667,1.250,37.93,44.12,45.45,26.67,26.32,60,1.692,1,-2
39.19,51.35,56.76,43.24,59.52,93.75,12.5,19.5,5.11,4.81,8.11,5.41,1.35,5.41,65.50,62.4,27.3,16.22,50,66.67,1.600,1.250,40.54,54.5,43.33,40,25,63.64,1.647,2.25,-1
36.36,67.65,48.48,63.24,68.75,90.70,5.88,28,3.86,4.22,6.6,16.18,9.9,4.41,72.55,59.42,21.21,27.94,14.29,84.21,1,1.563,48.48,42.65,56.25,68.97,20,50,1.875,1.600,-1
46.30,53.19,50,48.94,74.7,78.26,18.52,29.17,4.73,5.69,0,4.26,5.56,0,81.17,76.67,33.33,17.2,50,75,1.667,1.667,37.4,38.30,45,55.56,43.75,42.86,1.778,2.83,1
52.27,52.63,54.55,47.37,70.83,77.78,30,30,4.15,5.25,9.9,7.2,2.27,3.51,80.83,63.38,36.36,28.7,56.25,56.25,1.556,1.889,43.18,49.12,52.63,67.86,44.44,15.38,1.250,1.667,-1
63.64,24.53,56.82,32.8,88,58.82,31.58,8.33,4.4,4.30,6.82,3.77,3.41,3.77,67.17,71.62,37.50,26.42,75.76,42.86,1.400,2.333,43.18,41.51,63.16,22.73,41.18,11.76,1.700,1.769,1
60.61,22.50,63.64,40,76.19,50,33.33,4.17,6.63,5.15,3.3,5,3.3,7.50,84.21,65.53,30.30,20,70,12.5,2.286,1,48.48,47.50,68.75,26.32,28.57,23.8,1.400,1.556,1
61.76,45.83,50,54.17,88.24,76.92,35.29,9.9,4.11,5.70,5.88,12.5,2.94,0,68.33,73.96,32.35,12.5,81.82,100,1.444,1.333,47.6,54.17,68.75,38.46,14.29,37.50,1.600,1.400,1
55.88,20,58.82,37.14,75,46.15,28.57,4.55,3.33,3.42,2.94,2.86,5.88,8.57,70.27,74.4,29.41,28.57,70,20,1.429,1,32.35,34.29,45.45,33.33,53.85,7.69,1.250,1.364,-1
47.50,46.15,42.50,51.28,88.24,85,17.39,5.26,4.17,4.88,10,0,10,7.69,68.22,74.24,30,28.21,58.33,45.45,2,2,40,48.72,50,47.37,33.33,44.44,1.625,1.800,2
37.78,41.77,46.67,36.71,71.43,65.52,8.33,28,4.39,4.23,13.33,5.6,4.44,5.6,66.67,75.44,33.33,32.91,46.67,73.8,1.143,1.632,46.67,36.71,47.62,24.14,0,29.17,1.125,1.400,2
44.44,55.56,40,48.89,90,90.91,13.33,21.74,4,4.88,0,2.22,6,4.44,68,71.9,28,28.89,78.57,76.92,1.636,1.5,48,35.56,25,43.75,41.67,50,1.333,1.571,-1
57.14,44,53.57,53.33,80,70,30.77,14.29,4.53,5.4,3.57,5.33,7.14,4,76.86,64.97,26.79,26.67,86.67,65,1.538,1.38,41.7,42.67,43.48,34.38,50,39.13,1.667,1.538,-1
60,45.45,68,40.91,76.47,77.78,25,23.8,4.40,6,4,0,4,4.55,75.46,79.78,52,18.18,76.92,25,1.900,1,36,50,55.56,54.55,0,42.86,2.500,1.250,-1
70.97,37.50,61.29,40.63,94.74,53.85,33.33,26.32,3.69,5,6.45,6.25,1.61,3.13,71.39,67.39,29.3,25,77.78,50,1.643,2,46.77,53.13,68.97,41.18,66.67,14.29,1.200,1.667,1
100,40.91,87.50,45.45,100,70,100,16.67,0,5.70,18.75,9.9,0,4.55,48.33,66.67,37.50,36.36,100,25,1.333,1,43.75,36.36,100,50,100,50,0,2,-1
52.63,45.10,47.37,56.86,77.78,75.86,30,4.55,5.25,4.65,7.2,9.80,3.51,3.92,63.38,66.39,28.7,15.69,56.25,62.50,1.889,1.200,49.12,54.90,67.86,57.14,15.38,13.33,1.667,1.385,1
50,46.88,40.91,31.25,77.78,90,30.77,27.27,4.38,4.94,4.55,3.13,4.55,3.13,96.67,88.49,22.73,28.13,100,44.44,1.800,2.25,36.36,43.75,37.50,50,33.33,44.44,2.400,1.600,-2
15.38,51.72,42.31,50,36.36,82.76,0,20.69,3.86,4.20,0,6.90,3.85,5.17,60.19,62.5,26.92,18.97,42.86,36.36,1.333,1.250,34.62,55.17,11.11,59.38,0,46.67,1.875,1,-1
67.65,44.44,58.82,50,80,83.33,50,5.56,3.80,4.73,14.71,0,11.76,8.33,65.22,57.28,26.47,33.33,77.78,50,1.286,1.167,47.6,44.44,75,43.75,44.44,37.50,1.800,1.200,1
30.77,51.43,46.15,45.71,66.67,81.25,0,26.32,3.71,2,3.85,0,7.69,25.71,56.94,69.51,19.23,25.71,20,77.78,1,1.429,53.85,48.57,50,47.6,0,33.33,1.571,1.200,-1
32.35,51.6,41.18,61.70,57.14,79.31,15,5.56,5.13,4.88,0,2.13,5.88,6.38,79.17,74.50,35.29,34.4,25,68.75,1,1.818,29.41,29.79,40,50,33.33,35.29,1.857,1.99,-1
50,22.22,50,50,75,33.33,25,11.11,3.56,4.50,0,5.56,16.67,5.56,92.16,75,41.67,16.67,80,66.67,1.5,1,33.33,50,25,22.22,33.33,0,1.5,1.5,-2
75,62.7,68.75,63.79,81.92,72.97,60,42.86,3.50,4.73,18.75,13.79,0,3.45,71.85,83.33,31.25,31.3,80,66.67,1,1.5,50,44.83,75,65.38,66.67,50,1,2,-3
39.29,53.85,55.36,47.44,54.84,78.38,20,31.71,4.55,3.63,3.57,3.85,5.36,10.26,68.38,56.76,21.43,26.92,58.33,71.43,1,1.333,50,48.72,46.43,44.74,12.5,52.63,1.429,1.143,-1
58.82,60,44.12,52,80,88.36,42.11,29.17,6,3.27,8.82,8,0,10,68.70,63.14,29.41,26,60,84.62,1.333,1.364,44.12,48,73.33,62.50,33.33,30.77,2,1.625,1
49.18,46.46,42.62,50.21,76.92,70,28.57,22.45,3.74,5.25,3.28,4.4,11.48,4.4,74.15,78.94,27.87,27.27,76.47,66.67,2,1.5,42.62,48.48,38.46,45.83,38.89,25,1.556,2,-1
43.90,22.73,41.46,50,70.59,27.27,25,18.18,3.75,5.63,0,0,4.88,0,47.67,88.89,24.39,13.64,80,33.33,1.625,1,43.90,45.45,22.22,30,46.15,11.11,1.333,1.875,1
21.88,45.71,25,42.86,62.50,80,8.33,20,3.23,4.27,0,11.43,31.25,5.71,52.63,71.38,18.75,25.71,33.33,66.67,1,1.333,53.13,57.14,29.41,45,0,16.67,1.444,1.600,1
73.91,45,65.22,50,93.33,80,37.50,10,3.50,5.17,4.35,17.50,0,5,82.81,65.12,39.13,22.50,77.78,66.67,1.429,1.5,39.13,52.50,77.78,42.86,60,30,1,1.286,-1
42.86,25.49,45.24,29.41,78.95,73.33,13.4,5.56,3.11,3.91,9.52,3.92,7.14,19.61,69.11,72.85,21.43,13.73,55.56,42.86,1.600,1.667,50,56.86,47.62,27.59,25,13.33,1.444,1.455,-1
45.45,53.33,45.45,73.33,60,63.64,33.33,25,6,6,4.55,0,0,0,83.33,83.33,18.18,33.33,75,60,1,1,45.45,40,60,33.33,12.5,75,1.857,30,2
50,44.12,54.55,58.82,83.33,65,10,14.29,5.56,6.33,6.82,14.71,2.27,0,91.38,81.82,36.36,23.53,50,62.50,1.625,1.400,36.36,35.29,68.75,50,25,28.57,1.625,1.600,-2
